Game 00000: Roll: 91, Reward: 1.010204081632653, Nonce: 0, Client-Seed: 1337awesome, Server-Seed: 1888431046
Game 00074: Roll: 06, Reward: 1.010204081632653, Nonce: 74, Client-Seed: 1337awesome, Server-Seed: 296571783
Game 00075: Roll: 68, Reward: 1.010204081632653, Nonce: 75, Client-Seed: 1337awesome, Server-Seed: 2496555450
Game 00076: Roll: 80, Reward: 1.010204081632653, Nonce: 76, Client-Seed: 1337awesome, Server-Seed: 2097366625
Game 00077: Roll: 19, Reward: 1.010204081632653, Nonce: 77, Client-Seed: 1337awesome, Server-Seed: 2840245879
Game 00078: Roll: 68, Reward: 1.010204081632653, Nonce: 78, Client-Seed: 1337awesome, Server-Seed: 122959152
Game 00079: Roll: 30, Reward: 1.010204081632653, Nonce: 79, Client-Seed: 1337awesome, Server-Seed: 2453031754
Game 00080: Roll: 14, Reward: 1.010204081632653, Nonce: 80, Client-Seed: 1337awesome, Server-Seed: 3545580566
Game 00081: Roll: 11, Reward: 1.010204081632653, Nonce: 81, Client-Seed: 1337awesome, Server-Seed: 1242786887
Game 00082: Roll: 45, Reward: 1.010204081632653, Nonce: 82, Client-Seed: 1337awesome, Server-Seed: 3020273360
Game 00083: Roll: 85, Reward: 1.010204081632653, Nonce: 83, Client-Seed: 1337awesome, Server-Seed: 3655551244
Game 00084: Roll: 81, Reward: 1.010204081632653, Nonce: 84, Client-Seed: 1337awesome, Server-Seed: 2524663224
Game 00085: Roll: 54, Reward: 1.010204081632653, Nonce: 85, Client-Seed: 1337awesome, Server-Seed: 4212099608
Game 00086: Roll: 47, Reward: 1.010204081632653, Nonce: 86, Client-Seed: 1337awesome, Server-Seed: 3142083863
Game 00087: Roll: 68, Reward: 1.010204081632653, Nonce: 87, Client-Seed: 1337awesome, Server-Seed: 504767063
Game 00088: Roll: 53, Reward: 1.010204081632653, Nonce: 88, Client-Seed: 1337awesome, Server-Seed: 807356866
Game 00089: Roll: 71, Reward: 1.010204081632653, Nonce: 89, Client-Seed: 1337awesome, Server-Seed: 2078041171
Game 00090: Roll: 62, Reward: 1.010204081632653, Nonce: 90, Client-Seed: 1337awesome, Server-Seed: 3087137441
Game 00091: Roll: 46, Reward: 1.010204081632653, Nonce: 91, Client-Seed: 1337awesome, Server-Seed: 3603850234
Game 00092: Roll: 24, Reward: 1.010204081632653, Nonce: 92, Client-Seed: 1337awesome, Server-Seed: 788213594
Game 00093: Roll: 35, Reward: 1.010204081632653, Nonce: 93, Client-Seed: 1337awesome, Server-Seed: 669574172
Game 00094: Roll: 02, Reward: 1.010204081632653, Nonce: 94, Client-Seed: 1337awesome, Server-Seed: 128528069
Game 00095: Roll: 68, Reward: 1.010204081632653, Nonce: 95, Client-Seed: 1337awesome, Server-Seed: 2344001741
Game 00096: Roll: 45, Reward: 1.010204081632653, Nonce: 96, Client-Seed: 1337awesome, Server-Seed: 1774844858
Game 00097: Roll: 88, Reward: 1.010204081632653, Nonce: 97, Client-Seed: 1337awesome, Server-Seed: 4133347227
Game 00098: Roll: 35, Reward: 1.010204081632653, Nonce: 98, Client-Seed: 1337awesome, Server-Seed: 164542851
Game 00099: Roll: 19, Reward: 1.010204081632653, Nonce: 99, Client-Seed: 1337awesome, Server-Seed: 348159412
Game 00100: Roll: 83, Reward: 1.010204081632653, Nonce: 100, Client-Seed: 1337awesome, Server-Seed: 4281715902
Game 00101: Roll: 38, Reward: 1.010204081632653, Nonce: 101, Client-Seed: 1337awesome, Server-Seed: 3829395532
Game 00102: Roll: 22, Reward: 1.010204081632653, Nonce: 102, Client-Seed: 1337awesome, Server-Seed: 2893575941
Game 00103: Roll: 72, Reward: 1.010204081632653, Nonce: 103, Client-Seed: 1337awesome, Server-Seed: 284508900
Game 00104: Roll: 68, Reward: 1.010204081632653, Nonce: 104, Client-Seed: 1337awesome, Server-Seed: 696430515
Game 00105: Roll: 08, Reward: 1.010204081632653, Nonce: 105, Client-Seed: 1337awesome, Server-Seed: 1988389921
Game 00106: Roll: 91, Reward: 1.010204081632653, Nonce: 106, Client-Seed: 1337awesome, Server-Seed: 1543152872
Game 00107: Roll: 13, Reward: 1.010204081632653, Nonce: 107, Client-Seed: 1337awesome, Server-Seed: 2900559650
Game 00108: Roll: 20, Reward: 1.010204081632653, Nonce: 108, Client-Seed: 1337awesome, Server-Seed: 1643444926
Game 00109: Roll: 29, Reward: 1.010204081632653, Nonce: 109, Client-Seed: 1337awesome, Server-Seed: 3576787237
Game 00110: Roll: 29, Reward: 1.010204081632653, Nonce: 110, Client-Seed: 1337awesome, Server-Seed: 1819191931
Game 00111: Roll: 39, Reward: 1.010204081632653, Nonce: 111, Client-Seed: 1337awesome, Server-Seed: 2915950763
Game 00112: Roll: 03, Reward: 1.010204081632653, Nonce: 112, Client-Seed: 1337awesome, Server-Seed: 3737278423
Game 00113: Roll: 27, Reward: 1.010204081632653, Nonce: 113, Client-Seed: 1337awesome, Server-Seed: 1259402367
Game 00114: Roll: 88, Reward: 1.010204081632653, Nonce: 114, Client-Seed: 1337awesome, Server-Seed: 2469145085
Game 00115: Roll: 53, Reward: 1.010204081632653, Nonce: 115, Client-Seed: 1337awesome, Server-Seed: 780091846
Game 00116: Roll: 29, Reward: 1.010204081632653, Nonce: 116, Client-Seed: 1337awesome, Server-Seed: 1059330510
Game 00117: Roll: 03, Reward: 1.010204081632653, Nonce: 117, Client-Seed: 1337awesome, Server-Seed: 890396407
Game 00118: Roll: 84, Reward: 1.010204081632653, Nonce: 118, Client-Seed: 1337awesome, Server-Seed: 914510138
Game 00119: Roll: 97, Reward: 1.010204081632653, Nonce: 119, Client-Seed: 1337awesome, Server-Seed: 1398153428
Game 00120: Roll: 93, Reward: 1.010204081632653, Nonce: 120, Client-Seed: 1337awesome, Server-Seed: 3444071152
Game 00121: Roll: 11, Reward: 1.010204081632653, Nonce: 121, Client-Seed: 1337awesome, Server-Seed: 257910436
Game 00122: Roll: 50, Reward: 1.010204081632653, Nonce: 122, Client-Seed: 1337awesome, Server-Seed: 986576388
Game 00123: Roll: 69, Reward: 1.010204081632653, Nonce: 123, Client-Seed: 1337awesome, Server-Seed: 3386670698
Game 00124: Roll: 24, Reward: 1.010204081632653, Nonce: 124, Client-Seed: 1337awesome, Server-Seed: 3834628303
Game 00125: Roll: 05, Reward: 1.010204081632653, Nonce: 125, Client-Seed: 1337awesome, Server-Seed: 642588583
Game 00126: Roll: 22, Reward: 1.010204081632653, Nonce: 126, Client-Seed: 1337awesome, Server-Seed: 2465200865
Game 00127: Roll: 84, Reward: 1.010204081632653, Nonce: 127, Client-Seed: 1337awesome, Server-Seed: 3042836384
Game 00128: Roll: 25, Reward: 1.010204081632653, Nonce: 128, Client-Seed: 1337awesome, Server-Seed: 2248046338
Game 00129: Roll: 79, Reward: 1.010204081632653, Nonce: 129, Client-Seed: 1337awesome, Server-Seed: 3798998707
Game 00130: Roll: 80, Reward: 1.010204081632653, Nonce: 130, Client-Seed: 1337awesome, Server-Seed: 4186773265
Game 00131: Roll: 24, Reward: 1.010204081632653, Nonce: 131, Client-Seed: 1337awesome, Server-Seed: 1627685915
Game 00132: Roll: 27, Reward: 1.010204081632653, Nonce: 132, Client-Seed: 1337awesome, Server-Seed: 2729808336
Game 00133: Roll: 93, Reward: 1.010204081632653, Nonce: 133, Client-Seed: 1337awesome, Server-Seed: 1968472875
Game 00134: Roll: 88, Reward: 1.010204081632653, Nonce: 134, Client-Seed: 1337awesome, Server-Seed: 2275337168
Game 00135: Roll: 53, Reward: 1.010204081632653, Nonce: 135, Client-Seed: 1337awesome, Server-Seed: 310507569
Game 00136: Roll: 49, Reward: 1.010204081632653, Nonce: 136, Client-Seed: 1337awesome, Server-Seed: 678904152
Game 00137: Roll: 31, Reward: 1.010204081632653, Nonce: 137, Client-Seed: 1337awesome, Server-Seed: 3040794938
Game 00138: Roll: 54, Reward: 1.010204081632653, Nonce: 138, Client-Seed: 1337awesome, Server-Seed: 3463009465
Game 00139: Roll: 54, Reward: 1.010204081632653, Nonce: 139, Client-Seed: 1337awesome, Server-Seed: 1638290230
Game 00140: Roll: 49, Reward: 1.010204081632653, Nonce: 140, Client-Seed: 1337awesome, Server-Seed: 3454768413
Game 00141: Roll: 12, Reward: 1.010204081632653, Nonce: 141, Client-Seed: 1337awesome, Server-Seed: 3954046564
Game 00142: Roll: 43, Reward: 1.010204081632653, Nonce: 142, Client-Seed: 1337awesome, Server-Seed: 266275688
Game 00143: Roll: 88, Reward: 1.010204081632653, Nonce: 143, Client-Seed: 1337awesome, Server-Seed: 447086219
Game 00144: Roll: 82, Reward: 1.010204081632653, Nonce: 144, Client-Seed: 1337awesome, Server-Seed: 3130430833
Game 00145: Roll: 71, Reward: 1.010204081632653, Nonce: 145, Client-Seed: 1337awesome, Server-Seed: 2166804703
Game 00146: Roll: 34, Reward: 1.010204081632653, Nonce: 146, Client-Seed: 1337awesome, Server-Seed: 4142725090
Game 00147: Roll: 87, Reward: 1.010204081632653, Nonce: 147, Client-Seed: 1337awesome, Server-Seed: 3974941663
Game 00148: Roll: 89, Reward: 1.010204081632653, Nonce: 148, Client-Seed: 1337awesome, Server-Seed: 3924240104
Game 00149: Roll: 95, Reward: 1.010204081632653, Nonce: 149, Client-Seed: 1337awesome, Server-Seed: 1279078438
Game 00150: Roll: 24, Reward: 1.010204081632653, Nonce: 150, Client-Seed: 1337awesome, Server-Seed: 4184209307
Game 00151: Roll: 21, Reward: 1.010204081632653, Nonce: 151, Client-Seed: 1337awesome, Server-Seed: 868008740
Game 00152: Roll: 53, Reward: 1.010204081632653, Nonce: 152, Client-Seed: 1337awesome, Server-Seed: 2666181215
Game 00153: Roll: 48, Reward: 1.010204081632653, Nonce: 153, Client-Seed: 1337awesome, Server-Seed: 2644568901
Game 00154: Roll: 22, Reward: 1.010204081632653, Nonce: 154, Client-Seed: 1337awesome, Server-Seed: 1102695214
Game 00155: Roll: 65, Reward: 1.010204081632653, Nonce: 155, Client-Seed: 1337awesome, Server-Seed: 3232603321
Game 00156: Roll: 42, Reward: 1.010204081632653, Nonce: 156, Client-Seed: 1337awesome, Server-Seed: 4115262313
Game 00157: Roll: 89, Reward: 1.010204081632653, Nonce: 157, Client-Seed: 1337awesome, Server-Seed: 3858463731
Game 00158: Roll: 28, Reward: 1.010204081632653, Nonce: 158, Client-Seed: 1337awesome, Server-Seed: 1130556446
Game 00159: Roll: 31, Reward: 1.010204081632653, Nonce: 159, Client-Seed: 1337awesome, Server-Seed: 3021997316
Game 00160: Roll: 25, Reward: 1.010204081632653, Nonce: 160, Client-Seed: 1337awesome, Server-Seed: 984107000
Game 00161: Roll: 14, Reward: 1.010204081632653, Nonce: 161, Client-Seed: 1337awesome, Server-Seed: 2766667426
Game 00162: Roll: 95, Reward: 1.010204081632653, Nonce: 162, Client-Seed: 1337awesome, Server-Seed: 3132066734
Game 00163: Roll: 64, Reward: 1.010204081632653, Nonce: 163, Client-Seed: 1337awesome, Server-Seed: 544251739
Game 00164: Roll: 00, Reward: 1.010204081632653, Nonce: 164, Client-Seed: 1337awesome, Server-Seed: 4282002335
Game 00165: Roll: 46, Reward: 1.010204081632653, Nonce: 165, Client-Seed: 1337awesome, Server-Seed: 18326652
Game 00166: Roll: 36, Reward: 1.010204081632653, Nonce: 166, Client-Seed: 1337awesome, Server-Seed: 542484722
Game 00167: Roll: 91, Reward: 1.010204081632653, Nonce: 167, Client-Seed: 1337awesome, Server-Seed: 121908939
Game 00168: Roll: 04, Reward: 1.010204081632653, Nonce: 168, Client-Seed: 1337awesome, Server-Seed: 3703752112
Game 00169: Roll: 37, Reward: 1.010204081632653, Nonce: 169, Client-Seed: 1337awesome, Server-Seed: 336063981
Game 00170: Roll: 29, Reward: 1.010204081632653, Nonce: 170, Client-Seed: 1337awesome, Server-Seed: 3893811407
Game 00171: Roll: 39, Reward: 1.010204081632653, Nonce: 171, Client-Seed: 1337awesome, Server-Seed: 905515457
Game 00172: Roll: 38, Reward: 1.010204081632653, Nonce: 172, Client-Seed: 1337awesome, Server-Seed: 285139673
Game 00173: Roll: 03, Reward: 1.010204081632653, Nonce: 173, Client-Seed: 1337awesome, Server-Seed: 1021695997
Game 00174: Roll: 95, Reward: 1.010204081632653, Nonce: 174, Client-Seed: 1337awesome, Server-Seed: 4010848890
Game 00175: Roll: 48, Reward: 1.010204081632653, Nonce: 175, Client-Seed: 1337awesome, Server-Seed: 443850827
Game 00176: Roll: 43, Reward: 1.010204081632653, Nonce: 176, Client-Seed: 1337awesome, Server-Seed: 4081759143
Game 00177: Roll: 77, Reward: 1.010204081632653, Nonce: 177, Client-Seed: 1337awesome, Server-Seed: 3048877580
Game 00178: Roll: 44, Reward: 1.010204081632653, Nonce: 178, Client-Seed: 1337awesome, Server-Seed: 1701691639
Game 00179: Roll: 57, Reward: 1.010204081632653, Nonce: 179, Client-Seed: 1337awesome, Server-Seed: 2152105222
Game 00180: Roll: 50, Reward: 1.010204081632653, Nonce: 180, Client-Seed: 1337awesome, Server-Seed: 37195600
Game 00181: Roll: 36, Reward: 1.010204081632653, Nonce: 181, Client-Seed: 1337awesome, Server-Seed: 3875942368
Game 00182: Roll: 65, Reward: 1.010204081632653, Nonce: 182, Client-Seed: 1337awesome, Server-Seed: 2787903189
Game 00183: Roll: 65, Reward: 1.010204081632653, Nonce: 183, Client-Seed: 1337awesome, Server-Seed: 145395572
Game 00184: Roll: 91, Reward: 1.010204081632653, Nonce: 184, Client-Seed: 1337awesome, Server-Seed: 3851374045
Game 00185: Roll: 19, Reward: 1.010204081632653, Nonce: 185, Client-Seed: 1337awesome, Server-Seed: 3470576395
Game 00186: Roll: 91, Reward: 1.010204081632653, Nonce: 186, Client-Seed: 1337awesome, Server-Seed: 899179386
Game 00187: Roll: 30, Reward: 1.010204081632653, Nonce: 187, Client-Seed: 1337awesome, Server-Seed: 235071778
Game 00188: Roll: 80, Reward: 1.010204081632653, Nonce: 188, Client-Seed: 1337awesome, Server-Seed: 3225885401
Game 00189: Roll: 56, Reward: 1.010204081632653, Nonce: 189, Client-Seed: 1337awesome, Server-Seed: 1964107
Game 00190: Roll: 12, Reward: 1.010204081632653, Nonce: 190, Client-Seed: 1337awesome, Server-Seed: 3138849016
Game 00191: Roll: 22, Reward: 1.010204081632653, Nonce: 191, Client-Seed: 1337awesome, Server-Seed: 3461771973
Game 00192: Roll: 71, Reward: 1.010204081632653, Nonce: 192, Client-Seed: 1337awesome, Server-Seed: 1982738731
Game 00193: Roll: 37, Reward: 1.010204081632653, Nonce: 193, Client-Seed: 1337awesome, Server-Seed: 4201392559
Game 00194: Roll: 07, Reward: 1.010204081632653, Nonce: 194, Client-Seed: 1337awesome, Server-Seed: 594280936
Game 00195: Roll: 75, Reward: 1.010204081632653, Nonce: 195, Client-Seed: 1337awesome, Server-Seed: 3948073059
Game 00196: Roll: 32, Reward: 1.010204081632653, Nonce: 196, Client-Seed: 1337awesome, Server-Seed: 2746454350
Game 00197: Roll: 49, Reward: 1.010204081632653, Nonce: 197, Client-Seed: 1337awesome, Server-Seed: 2854566703
Game 00198: Roll: 06, Reward: 1.010204081632653, Nonce: 198, Client-Seed: 1337awesome, Server-Seed: 1795252148
Game 00199: Roll: 43, Reward: 1.010204081632653, Nonce: 199, Client-Seed: 1337awesome, Server-Seed: 2887670603
Game 00200: Roll: 55, Reward: 1.010204081632653, Nonce: 200, Client-Seed: 1337awesome, Server-Seed: 3260951547
Game 00201: Roll: 79, Reward: 1.010204081632653, Nonce: 201, Client-Seed: 1337awesome, Server-Seed: 1409281354
Game 00202: Roll: 29, Reward: 1.010204081632653, Nonce: 202, Client-Seed: 1337awesome, Server-Seed: 683775106
Game 00203: Roll: 26, Reward: 1.010204081632653, Nonce: 203, Client-Seed: 1337awesome, Server-Seed: 3591550896
Game 00204: Roll: 40, Reward: 1.010204081632653, Nonce: 204, Client-Seed: 1337awesome, Server-Seed: 243156412
Game 00205: Roll: 82, Reward: 1.010204081632653, Nonce: 205, Client-Seed: 1337awesome, Server-Seed: 571447052
Game 00206: Roll: 93, Reward: 1.010204081632653, Nonce: 206, Client-Seed: 1337awesome, Server-Seed: 2706422716
Game 00207: Roll: 85, Reward: 1.010204081632653, Nonce: 207, Client-Seed: 1337awesome, Server-Seed: 3785300
Game 00208: Roll: 100, Reward: 0, Nonce: 208, Client-Seed: 1337awesome, Server-Seed: 3366985269
Game 00209: Roll: 20, Reward: 1.010204081632653, Nonce: 209, Client-Seed: 1337awesome, Server-Seed: 3684432351
Game 00210: Roll: 49, Reward: 1.010204081632653, Nonce: 210, Client-Seed: 1337awesome, Server-Seed: 2310397156
Game 00211: Roll: 48, Reward: 1.010204081632653, Nonce: 211, Client-Seed: 1337awesome, Server-Seed: 3921047985
Game 00212: Roll: 74, Reward: 1.010204081632653, Nonce: 212, Client-Seed: 1337awesome, Server-Seed: 3429355899
Game 00213: Roll: 99, Reward: 0, Nonce: 213, Client-Seed: 1337awesome, Server-Seed: 929581167
Game 00214: Roll: 06, Reward: 1.010204081632653, Nonce: 214, Client-Seed: 1337awesome, Server-Seed: 3268725793
Game 00215: Roll: 73, Reward: 1.010204081632653, Nonce: 215, Client-Seed: 1337awesome, Server-Seed: 911255374
Game 00216: Roll: 71, Reward: 1.010204081632653, Nonce: 216, Client-Seed: 1337awesome, Server-Seed: 3541531573
Game 00217: Roll: 28, Reward: 1.010204081632653, Nonce: 217, Client-Seed: 1337awesome, Server-Seed: 3630870081
Game 00218: Roll: 61, Reward: 1.010204081632653, Nonce: 218, Client-Seed: 1337awesome, Server-Seed: 1773606263
Game 00219: Roll: 39, Reward: 1.010204081632653, Nonce: 219, Client-Seed: 1337awesome, Server-Seed: 562600578
Game 00220: Roll: 15, Reward: 1.010204081632653, Nonce: 220, Client-Seed: 1337awesome, Server-Seed: 4050284476
Game 00221: Roll: 77, Reward: 1.010204081632653, Nonce: 221, Client-Seed: 1337awesome, Server-Seed: 1817803076
Game 00222: Roll: 42, Reward: 1.010204081632653, Nonce: 222, Client-Seed: 1337awesome, Server-Seed: 1031507834
Game 00223: Roll: 34, Reward: 1.010204081632653, Nonce: 223, Client-Seed: 1337awesome, Server-Seed: 3180485840
Game 00224: Roll: 34, Reward: 1.010204081632653, Nonce: 224, Client-Seed: 1337awesome, Server-Seed: 3664598952
Game 00225: Roll: 26, Reward: 1.010204081632653, Nonce: 225, Client-Seed: 1337awesome, Server-Seed: 3129074259
Game 00226: Roll: 64, Reward: 1.010204081632653, Nonce: 226, Client-Seed: 1337awesome, Server-Seed: 2556622216
Game 00227: Roll: 95, Reward: 1.010204081632653, Nonce: 227, Client-Seed: 1337awesome, Server-Seed: 3612127205
Game 00228: Roll: 22, Reward: 1.010204081632653, Nonce: 228, Client-Seed: 1337awesome, Server-Seed: 2027065045
